Link,Location Name,Host Name,Address,Phone Number,Web Site,Review Count
https://www.peerspace.com/pages/listings/624316ef28369a000f28456b,"Media Production, Events, Storing Equipment Warehouse Mesquite",Nasir M.,"Hillhome Gardens, Mesquite, TX",,,0
https://www.peerspace.com/pages/listings/613fa643524e55000cc3ec80,Creative Studio in the Design District,Vee F.,"Dallas, TX",,,0
https://www.peerspace.com/pages/listings/624dd77ef4033e000e3c6f5e,Design District of Dallas,Karson B.,"Dallas, TX",,,0
https://www.peerspace.com/pages/listings/6265ca66c6eb76000fd09db4,"The Glamp Spot: Hiking, mountain biking, surfing",Sofiane H.,"El Cajon, CA",,,0
https://www.peerspace.com/pages/listings/626a5732fd59a2000e7e3fcb,Provocative Event Space with Bar,Aydin K.,"Inglewood, CA",,,0
https://www.peerspace.com/pages/listings/62632fd03af9d0000e164a78,Industrial/eclectic Freestanding Building,Rafael And Laura P.,"El Segundo, CA",,,0
https://www.peerspace.com/pages/listings/6240e50110274c0021474764,Spacious Oasis w/ a Pool!,Edward C.,"Conway, Orlando, FL",,,0
https://www.peerspace.com/pages/listings/6243ddd972c628000eeda146,Downtown Hollywood Bar & Lounge,Marie B.,"Royal Poinciana, Hollywood, FL",,,0
https://www.peerspace.com/pages/listings/6255a704d7842d000ef33e20,Modern Hard Rock inspired Townhome,Jordan M.,"Dania Beach, Fort Lauderdale, FL",,,1
https://www.peerspace.com/pages/listings/621fc63710274c0021406e4b,Upscale Space in the Heart of Galleria Houston,Christina N.,"Uptown, Houston, TX",,,0
https://www.peerspace.com/pages/listings/61fa1a2fbdb172000d3e4e07,Cozy Suburban Home,Deyana S.,"Maple, Vaughan, ON",,,0
https://www.peerspace.com/pages/listings/62520b46eee98f000f55ab71,Downtown Modern Blue Haus,Jose P.,"East Downtown, Houston, TX",,,0
https://www.peerspace.com/pages/listings/6246d0fb4a44c2000e1ef944,Vibrant Multi Purpose Creative/ Event Space In Downtown Dallas,Kenan C.,"Dallas Downtown Historic District, Dallas, TX",,,0
https://www.peerspace.com/pages/listings/6249a7402374b6000f339e8d,Urban Oasis with Pool on 1 Acre lot,Amber R.,"Forney, TX",,,0
https://www.peerspace.com/pages/listings/622ff07df7f2760021867ba1,Open Dance Hall for Events,Lasha A.,"Pleasant Grove, Dallas, TX",,,0
https://www.peerspace.com/pages/listings/624ce6994a44c2000e1ff3f5,Event hall with the state of art equipments,Ademola A.,"Richardson, TX",,,0
https://www.peerspace.com/pages/listings/6258a1109a2b9d000e634ce6,Bright Modern Industrial Loft Near Downtown,Emily D.,"Cedars, Dallas, TX",,,0
https://www.peerspace.com/pages/listings/624f78a1eee98f000f553218,Film/Production Studio,Jack P.,"Washington Avenue Coalition / Memorial Park, Houston, TX",,,0
https://www.peerspace.com/pages/listings/624aae9c4a44c2000e1f77d9,Cozy House for All,Farwa I.,"Sunnyside, Houston, TX",,,0
https://www.peerspace.com/pages/listings/623f307810274c0021471dd7,Urban Eventspace in Acres Homes (near downtown),Malinda P.,"Greater Inwood, Houston, TX",,,1
https://www.peerspace.com/pages/listings/6240cc0310274c0021474339,"""Garden Oaks Intimate Event Space""",Dru E.,"Northside, Houston, TX",,,0
https://www.peerspace.com/pages/listings/621bf609f7f27600218183e3,"Indoor, Outdoor Artistic Industrial Venue",Delfina D.,"Gulfton, Houston, TX",,,0
https://www.peerspace.com/pages/listings/621443d510274c00213d5fca,Speakeasy Vibe & Open-Air Covered Venue,Andrew H.,"Downtown Houston, Houston, TX",,,0
https://www.peerspace.com/pages/listings/62562634d7842d000ef36c5d,Gymnastics Gym | Great for Birthday Parties!,Genevieve J.,"North Laurel, Laurel, MD",,,0
https://www.peerspace.com/pages/listings/612b7eafbf1931000d9153d5,"Suburan, Upscale Classy Lounge/Micro Event Venue",Juanita W.,"Lawrenceville, GA",,,0
